date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:23	31941/31941	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a42307c546cd9f9b1f6638ac4cef3a49%22	https://r.mobirisesite.com/718031/assets/theme/js/script.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/theme/js/scriptdf1b.js	(from https://718031.mobirisesite.com/)
17:51:24	6208/6208	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e988d7059faa52a09d108a2bb8b94aa0%22	https://r.mobirisesite.com/718031/assets/formoid/formoid.min.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/formoid/formoid.mindf1b.js	(from https://718031.mobirisesite.com/)
17:51:24	25468/25468	---M--	200	added ('OK')	binary/octet-stream	etag:%22385866f21466d026cef79ed73d2e93cb%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.eot?f2bix4	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise21e04.eot	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1727007098590)
17:51:25	25280/25280	---M--	200	added ('OK')	binary/octet-stream	etag:%22a915592fd82d5a2f17cbbc795a6c31e8%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.ttf?f2bix4	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise21e04.ttf	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1727007098590)
17:51:26	25356/25356	---MCZ	200	added ('OK')	application/font-woff	etag:W/%220a7e6a641c103830068ddcebe2ca65ae%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.woff?f2bix4	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise21e04.woff	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1727007098590)
17:51:27	72845/72845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bac098032ed07737247de19179bf7059%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.svg?f2bix4	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise21e04.svg	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1727007098590)
17:51:28	51628/51628	---M--	200	added ('OK')	binary/octet-stream	etag:%22be722c92284e66e3fc27316b630aae99%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.eot?spat4u	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons0e1c.eot	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.css?rnd=1727007098590)
17:51:28	51464/51464	---M--	200	added ('OK')	binary/octet-stream	etag:%22efe575ff53d0d0e86d5f5fc36f574e2b%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.ttf?spat4u	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons0e1c.ttf	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.css?rnd=1727007098590)
17:51:29	51540/51540	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22527def02d22e0e4c65242eee800cbaf7%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.woff?spat4u	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons0e1c.woff	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.css?rnd=1727007098590)
17:51:31	206219/206219	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22629e694a519d9cb80f7502d46bf62fdf%22	https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.svg?spat4u	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons0e1c.svg	(from https://r.mobirisesite.com/718031/assets/web/assets/mobirise-icons/mobirise-icons.css?rnd=1727007098590)
